time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	5.000000e-12	5.000000e-05	1.668333e-21	-5.000000e-05
1.023999971092636e-09	5.122880e-12	5.120000e-05	1.709357e-21	-5.120000e-05
1.071999969841770e-09	5.374400e-12	5.360000e-05	1.793419e-21	-5.360000e-05
1.167999967340038e-09	5.912000e-12	5.840000e-05	1.974181e-21	-5.840000e-05
1.359999962336573e-09	7.125440e-12	6.800000e-05	2.391783e-21	-6.800000e-05
1.743999952329645e-09	1.010528e-11	8.719999e-05	3.495542e-21	-8.719999e-05
2.511999932315788e-09	1.827680e-11	1.256000e-04	7.131173e-21	-1.256000e-04
4.047999892288074e-09	4.346720e-11	2.024000e-04	2.294603e-20	-2.024000e-04
7.119999812232647e-09	1.292374e-10	3.560000e-04	1.113994e-19	-3.560000e-04
1.326399965212179e-08	4.423356e-10	6.632000e-04	6.967946e-19	-6.632000e-04
2.555199933190009e-08	1.634763e-09	1.277600e-03	4.951090e-18	-1.277600e-03
5.012799869145667e-08	6.284542e-09	2.506400e-03	3.739011e-17	-2.506400e-03
9.927999741056983e-08	2.464379e-08	4.963999e-03	2.907611e-16	-4.963999e-03
1.616621536473158e-07	6.533912e-08	8.083105e-03	1.226329e-15	-8.083105e-03
2.310703237090396e-07	1.334862e-07	1.155351e-02	3.526369e-15	-1.155351e-02
2.978997705370257e-07	2.218631e-07	1.489498e-02	7.484364e-15	-1.489498e-02
3.974777397863028e-07	3.949737e-07	1.987387e-02	1.772165e-14	-1.987387e-02
5.170804366764203e-07	6.684326e-07	2.585400e-02	3.891945e-14	-2.585400e-02
6.866521567990298e-07	1.178730e-06	3.433257e-02	9.112403e-14	-3.433257e-02
8.980935433834202e-07	2.016430e-06	4.490461e-02	2.037225e-13	-4.490461e-02
1.000000000000000e-06	2.500000e-06	4.999992e-02	2.804315e-13	-4.999992e-02
1.203812913233160e-06	3.519062e-06	4.999988e-02	4.848923e-13	-4.999988e-02
1.562397402276613e-06	5.311979e-06	4.999982e-02	1.012672e-12	-4.999982e-02
2.094765515755946e-06	7.973808e-06	4.999973e-02	2.191495e-12	-4.999973e-02
3.159501742714611e-06	1.329745e-05	4.999956e-02	5.966210e-12	-4.999956e-02
5.288974196631941e-06	2.394468e-05	4.999920e-02	1.918390e-11	-4.999920e-02
9.547919104466602e-06	4.523891e-05	4.999849e-02	6.829209e-11	-4.999849e-02
1.806580892013592e-05	8.782648e-05	4.999707e-02	2.571982e-10	-4.999707e-02
2.000000000000000e-05	9.749684e-05	4.999675e-02	3.169399e-10	-4.999675e-02
2.072376341048969e-05	1.011154e-04	4.999663e-02	3.413345e-10	-4.999663e-02
2.217129023146908e-05	1.083525e-04	4.999639e-02	3.918696e-10	-4.999639e-02
2.506634387342785e-05	1.228267e-04	4.999591e-02	5.034156e-10	-4.999591e-02
3.085645115734540e-05	1.517746e-04	4.999494e-02	7.684107e-10	-4.999494e-02
4.243666572518049e-05	2.096687e-04	4.999301e-02	1.466009e-09	-4.999301e-02
6.559709486085068e-05	3.254501e-04	4.998915e-02	3.531606e-09	-4.998915e-02
1.119179531321910e-04	5.569863e-04	4.998142e-02	1.034414e-08	-4.998143e-02
2.045596696748718e-04	1.019951e-03	4.996597e-02	3.469251e-08	-4.996600e-02
3.045596696748717e-04	1.519527e-03	4.994927e-02	7.701715e-08	-4.994935e-02
4.045596696748717e-04	2.018937e-03	4.993257e-02	1.359915e-07	-4.993270e-02
5.045596696748717e-04	2.518179e-03	4.991585e-02	2.116101e-07	-4.991606e-02
6.045596696748717e-04	3.017253e-03	4.989912e-02	3.038673e-07	-4.989943e-02
7.045596696748718e-04	3.516161e-03	4.988238e-02	4.127575e-07	-4.988280e-02
