time,V,IC,IL,IR,R,L,C,vs
0.0,0.0,0.0,0.0,0.0,10,0.2,0.02,0.5
9.999999717180683e-10,2.5e-12,5e-05,1.25125e-20,-5e-05,10,0.2,0.02,0.5
1.023999971119302e-09,2.56144e-12,5.12e-05,1.282018e-20,-5.12e-05,10,0.2,0.02,0.5
1.071999969921769e-09,2.6872e-12,5.36e-05,1.345064e-20,-5.36e-05,10,0.2,0.02,0.5
1.167999967526704e-09,2.956e-12,5.84e-05,1.480636e-20,-5.84e-05,10,0.2,0.02,0.5
1.359999962736573e-09,3.56272e-12,6.8e-05,1.793837e-20,-6.8e-05,10,0.2,0.02,0.5
1.7439999531563121e-09,5.05264e-12,8.719999e-05,2.621657e-20,-8.719999e-05,10,0.2,0.02,0.5
2.511999933995788e-09,9.138399e-12,0.0001256,5.3483789999999996e-20,-0.0001256,10,0.2,0.02,0.5
4.047999895674742e-09,2.17336e-11,0.0002024,1.7209519999999998e-19,-0.0002024,10,0.2,0.02,0.5
7.119999819032651e-09,6.461871e-11,0.000356,8.354954e-19,-0.000356,10,0.2,0.02,0.5
1.3263999665748473e-08,2.211678e-10,0.0006632,5.225959e-18,-0.0006632,10,0.2,0.02,0.5
2.5551999359180105e-08,8.173815e-10,0.0012776,3.7133180000000006e-17,-0.0012776,10,0.2,0.02,0.5
5.012799874604336e-08,3.142271e-09,0.0025064,2.804258e-16,-0.0025064,10,0.2,0.02,0.5
9.927999751976989e-08,1.23219e-08,0.004963999,2.180709e-15,-0.004963999,10,0.2,0.02,0.5
1.732310163781139e-07,3.751247e-08,0.008661547,1.139409e-14,-0.008661547,10,0.2,0.02,0.5
2.614527049273086e-07,8.544811e-08,0.01307263,3.851381e-14,-0.01307263,10,0.2,0.02,0.5
3.432806147181102e-07,1.473031e-07,0.01716402,8.612798e-14,-0.01716402,10,0.2,0.02,0.5
4.558036689121768e-07,2.596973e-07,0.02279016,2.006209e-13,-0.02279016,10,0.2,0.02,0.5
5.946357460240978e-07,4.419904e-07,0.02973174,4.441637e-13,-0.02973174,10,0.2,0.02,0.5
7.872490379768913e-07,7.747015e-07,0.03936237,1.030043e-12,-0.03936237,10,0.2,0.02,0.5
1e-06,1.249999e-06,0.04999987,2.106938e-12,-0.04999987,10,0.2,0.02,0.5
1.343111045966181e-06,2.107774e-06,0.04999979,4.987165e-12,-0.04999979,10,0.2,0.02,0.5
1.721292189856253e-06,3.053222e-06,0.0499997,9.866647e-12,-0.0499997,10,0.2,0.02,0.5
2.336342928960951e-06,4.590837e-06,0.04999954,2.162037e-11,-0.04999954,10,0.2,0.02,0.5
3.566444407170348e-06,7.666053e-06,0.04999923,5.931343e-11,-0.04999923,10,0.2,0.02,0.5
6.026647363589141e-06,1.381643e-05,0.04999862,1.914416e-10,-0.04999862,10,0.2,0.02,0.5
1.094705327642673e-05,2.611695e-05,0.04999739,6.826628e-10,-0.04999739,10,0.2,0.02,0.5
2e-05,4.874762e-05,0.04999512,2.377025e-09,-0.04999512,10,0.2,0.02,0.5
2.098408118256752e-05,5.120757e-05,0.04999488,2.628987e-09,-0.04999488,10,0.2,0.02,0.5
2.295224354770255e-05,5.612745e-05,0.04999438,3.157119e-09,-0.04999439,10,0.2,0.02,0.5
2.688856827797262e-05,6.596706e-05,0.0499934,4.358629e-09,-0.0499934,10,0.2,0.02,0.5
3.476121773851276e-05,8.56457e-05,0.04999143,7.342614e-09,-0.04999144,10,0.2,0.02,0.5
5.050651665959305e-05,0.0001250006,0.04998748,1.563434e-08,-0.0499875,10,0.2,0.02,0.5
8.199711450175361e-05,0.0002037012,0.04997959,4.151188e-08,-0.04997963,10,0.2,0.02,0.5
0.000144978310186,0.000361065,0.04996376,1.30436e-07,-0.0499639,10,0.2,0.02,0.5
0.000244978310186,0.0006108208,0.04993854,3.734073e-07,-0.04993892,10,0.2,0.02,0.5
0.000344978310186,0.0008604501,0.04991321,7.412248e-07,-0.04991395,10,0.2,0.02,0.5
0.000444978310186,0.001109953,0.04988777,1.233825e-06,-0.04988901,10,0.2,0.02,0.5
0.000544978310186,0.001359328,0.04986222,1.851144e-06,-0.04986407,10,0.2,0.02,0.5
0.000644978310186,0.001608575,0.04983655,2.593119e-06,-0.04983914,10,0.2,0.02,0.5
0.000744978310186,0.001857693,0.04981077,3.459684e-06,-0.04981423,10,0.2,0.02,0.5
0.000844978310186,0.002106682,0.04978488,4.450776e-06,-0.04978933,10,0.2,0.02,0.5
0.000944978310186,0.002355541,0.04975888,5.566329e-06,-0.04976445,10,0.2,0.02,0.5
0.001044978310186,0.00260427,0.04973277,6.806279e-06,-0.04973957,10,0.2,0.02,0.5
0.001144978310186,0.002852869,0.04970654,8.17056e-06,-0.04971471,10,0.2,0.02,0.5
0.001244978310186,0.003101336,0.04968021,9.659107e-06,-0.04968987,10,0.2,0.02,0.5
0.001344978310186,0.00334967,0.04965376,1.127185e-05,-0.04966503,10,0.2,0.02,0.5
0.001444978310186,0.003597873,0.0496272,1.300873e-05,-0.04964021,10,0.2,0.02,0.5
0.001544978310186,0.003845942,0.04960054,1.486968e-05,-0.04961541,10,0.2,0.02,0.5
0.001644978310186,0.004093878,0.04957376,1.685463e-05,-0.04959061,10,0.2,0.02,0.5
0.001744978310186,0.00434168,0.04954687,1.896351e-05,-0.04956583,10,0.2,0.02,0.5
0.001844978310186,0.004589346,0.04951987,2.119625e-05,-0.04954106,10,0.2,0.02,0.5
0.001944978310186,0.004836878,0.04949276,2.35528e-05,-0.04951631,10,0.2,0.02,0.5
0.002044978310186,0.005084274,0.04946554,2.603307e-05,-0.04949157,10,0.2,0.02,0.5
0.002144978310186,0.005331533,0.04943821,2.863701e-05,-0.04946685,10,0.2,0.02,0.5
0.002244978310186,0.005578656,0.04941077,3.136454e-05,-0.04944213,10,0.2,0.02,0.5
0.002344978310186,0.005825641,0.04938322,3.42156e-05,-0.04941744,10,0.2,0.02,0.5
0.002444978310186,0.006072488,0.04935556,3.719012e-05,-0.04939275,10,0.2,0.02,0.5
0.002544978310186,0.006319196,0.04932779,4.028802e-05,-0.04936808,10,0.2,0.02,0.5
0.002644978310186,0.006565765,0.04929991,4.350924e-05,-0.04934342,10,0.2,0.02,0.5
0.002744978310186,0.006812195,0.04927193,4.68537e-05,-0.04931878,10,0.2,0.02,0.5
0.002844978310186,0.007058484,0.04924383,5.032135e-05,-0.04929415,10,0.2,0.02,0.5
0.002944978310186,0.007304633,0.04921563,5.39121e-05,-0.04926954,10,0.2,0.02,0.5
0.003044978310186,0.00755064,0.04918731,5.762589e-05,-0.04924494,10,0.2,0.02,0.5
0.003144978310186,0.007796505,0.04915889,6.146265e-05,-0.04922035,10,0.2,0.02,0.5
0.003244978310186,0.008042228,0.04913035,6.54223e-05,-0.04919578,10,0.2,0.02,0.5
0.003344978310186,0.008287809,0.04910171,6.950478e-05,-0.04917122,10,0.2,0.02,0.5
0.003444978310186,0.008533246,0.04907297,7.371001e-05,-0.04914667,10,0.2,0.02,0.5
0.003544978310186,0.008778539,0.04904411,7.803791e-05,-0.04912215,10,0.2,0.02,0.5
0.003644978310186,0.009023687,0.04901514,8.248843e-05,-0.04909763,10,0.2,0.02,0.5
0.003744978310186,0.00926869,0.04898607,8.706148e-05,-0.04907313,10,0.2,0.02,0.5
0.003844978310186,0.009513547,0.04895689,9.175699e-05,-0.04904864,10,0.2,0.02,0.5
0.003944978310186,0.009758258,0.0489276,9.65749e-05,-0.04902418,10,0.2,0.02,0.5
0.004044978310186,0.01000282,0.0488982,0.0001015151,-0.04899972,10,0.2,0.02,0.5
0.004144978310186,0.01024724,0.0488687,0.0001065776,-0.04897528,10,0.2,0.02,0.5
0.004244978310186,0.01049151,0.04883909,0.0001117622,-0.04895085,10,0.2,0.02,0.5
0.004344978310186,0.01073563,0.04880937,0.0001170689,-0.04892644,10,0.2,0.02,0.5
0.004444978310186,0.0109796,0.04877954,0.0001224977,-0.04890204,10,0.2,0.02,0.5
0.004544978310186,0.01122343,0.04874961,0.0001280484,-0.04887766,10,0.2,0.02,0.5
0.004644978310186,0.0114671,0.04871957,0.000133721,-0.04885329,10,0.2,0.02,0.5
0.004744978310186,0.01171062,0.04868942,0.0001395153,-0.04882894,10,0.2,0.02,0.5
0.004844978310186,0.01195399,0.04865917,0.0001454314,-0.0488046,10,0.2,0.02,0.5
0.004944978310186,0.01219721,0.04862881,0.0001514691,-0.04878028,10,0.2,0.02,0.5
0.005044978310186,0.01244028,0.04859835,0.0001576284,-0.04875597,10,0.2,0.02,0.5
0.005144978310186,0.0126832,0.04856777,0.0001639092,-0.04873168,10,0.2,0.02,0.5
0.005244978310186,0.01292596,0.04853709,0.0001703114,-0.0487074,10,0.2,0.02,0.5
0.005344978310186,0.01316857,0.04850631,0.000176835,-0.04868314,10,0.2,0.02,0.5
0.005444978310186,0.01341102,0.04847542,0.0001834798,-0.0486589,10,0.2,0.02,0.5
0.005544978310186,0.01365332,0.04844442,0.0001902458,-0.04863467,10,0.2,0.02,0.5
0.005644978310186,0.01389546,0.04841332,0.0001971329,-0.04861045,10,0.2,0.02,0.5
0.005744978310186,0.01413745,0.04838211,0.000204141,-0.04858625,10,0.2,0.02,0.5
0.005844978310186,0.01437929,0.0483508,0.0002112701,-0.04856207,10,0.2,0.02,0.5
0.005944978310186,0.01462096,0.04831938,0.00021852,-0.0485379,10,0.2,0.02,0.5
0.006044978310186,0.01486248,0.04828786,0.0002258908,-0.04851375,10,0.2,0.02,0.5
0.006144978310186,0.01510384,0.04825623,0.0002333822,-0.04848962,10,0.2,0.02,0.5
0.006244978310186,0.01534504,0.0482245,0.0002409943,-0.04846549,10,0.2,0.02,0.5
0.006344978310186,0.01558608,0.04819266,0.000248727,-0.04844139,10,0.2,0.02,0.5
0.006444978310186,0.01582697,0.04816072,0.0002565801,-0.0484173,10,0.2,0.02,0.5
0.006544978310186,0.01606769,0.04812868,0.0002645537,-0.04839323,10,0.2,0.02,0.5
0.006644978310186,0.01630825,0.04809653,0.0002726475,-0.04836917,10,0.2,0.02,0.5
0.006744978310186,0.01654866,0.04806427,0.0002808616,-0.04834513,10,0.2,0.02,0.5
0.006844978310186,0.0167889,0.04803191,0.0002891959,-0.04832111,10,0.2,0.02,0.5
0.006944978310186,0.01702897,0.04799945,0.0002976502,-0.0482971,10,0.2,0.02,0.5
0.007044978310186,0.01726889,0.04796689,0.0003062245,-0.04827311,10,0.2,0.02,0.5
0.007144978310186,0.01750864,0.04793422,0.0003149187,-0.04824914,10,0.2,0.02,0.5
0.007244978310186,0.01774823,0.04790144,0.0003237328,-0.04822518,10,0.2,0.02,0.5
0.007344978310186,0.01798766,0.04786857,0.0003326666,-0.04820123,10,0.2,0.02,0.5
0.007444978310186,0.01822692,0.04783559,0.0003417201,-0.04817731,10,0.2,0.02,0.5
0.007544978310186,0.01846601,0.0478025,0.0003508931,-0.0481534,10,0.2,0.02,0.5
