time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	3.000000e-11	1.500000e-05	3.003000e-21	-1.500000e-05
1.023999971359302e-09	3.073728e-11	1.536000e-05	3.076843e-21	-1.536000e-05
1.071999970641769e-09	3.224640e-11	1.608000e-05	3.228155e-21	-1.608000e-05
1.167999969206704e-09	3.547200e-11	1.752000e-05	3.553526e-21	-1.752000e-05
1.359999966336573e-09	4.275264e-11	2.040000e-05	4.305210e-21	-2.040000e-05
1.743999960596311e-09	6.063167e-11	2.616000e-05	6.291977e-21	-2.616000e-05
2.511999949115788e-09	1.096608e-10	3.768000e-05	1.283611e-20	-3.768000e-05
4.047999926154740e-09	2.608032e-10	6.071999e-05	4.130286e-20	-6.071999e-05
7.119999880232647e-09	7.754246e-10	1.068000e-04	2.005189e-19	-1.068000e-04
1.326399978838846e-08	2.654014e-09	1.989600e-04	1.254230e-18	-1.989600e-04
2.555199960470008e-08	9.808577e-09	3.832799e-04	8.911961e-18	-3.832799e-04
5.012799923732333e-08	3.770724e-08	7.519196e-04	6.730219e-17	-7.519196e-04
8.305962042780049e-08	1.034985e-07	1.245893e-03	2.998154e-16	-1.245893e-03
1.217871032901522e-07	2.224963e-07	1.826804e-03	9.310751e-16	-1.826804e-03
1.572291368098934e-07	3.708296e-07	2.358433e-03	1.982524e-15	-2.358433e-03
2.101801060366578e-07	6.626492e-07	3.152695e-03	4.718738e-15	-3.152695e-03
2.730615786472914e-07	1.118452e-06	4.095912e-03	1.031870e-14	-4.095912e-03
3.629448248239891e-07	1.975944e-06	5.444153e-03	2.422550e-14	-5.444153e-03
4.743971087276115e-07	3.375794e-06	7.115923e-03	5.404882e-14	-7.115923e-03
6.277575531370470e-07	5.911183e-06	9.416305e-03	1.252618e-13	-9.416305e-03
8.229827741134552e-07	1.015947e-05	1.234464e-02	2.821321e-13	-1.234464e-02
1.000000000000000e-06	1.499991e-05	1.499985e-02	5.048147e-13	-1.499985e-02
1.354034451773090e-06	2.562080e-05	1.499974e-02	1.223872e-12	-1.499974e-02
1.709198770249472e-06	3.627551e-05	1.499964e-02	2.323042e-12	-1.499964e-02
2.368345568963825e-06	5.604931e-05	1.499944e-02	5.365824e-12	-1.499944e-02
3.686639166392532e-06	9.559611e-05	1.499904e-02	1.536149e-11	-1.499904e-02
6.323226361249943e-06	1.746866e-04	1.499825e-02	5.099269e-11	-1.499825e-02
1.159640075096477e-05	3.328551e-04	1.499667e-02	1.848105e-10	-1.499667e-02
2.000000000000000e-05	5.848859e-04	1.499415e-02	5.704269e-10	-1.499415e-02
2.105463487794297e-05	6.165120e-04	1.499383e-02	6.354464e-10	-1.499384e-02
2.316390463382890e-05	6.797627e-04	1.499320e-02	7.721561e-10	-1.499320e-02
2.738244414560076e-05	8.062562e-04	1.499194e-02	1.085598e-09	-1.499194e-02
3.581952316914448e-05	1.059211e-03	1.498941e-02	1.872552e-09	-1.498941e-02
5.269368121623192e-05	1.564993e-03	1.498435e-02	4.086614e-09	-1.498435e-02
8.644199731040679e-05	2.576045e-03	1.497423e-02	1.107427e-08	-1.497424e-02
1.539386294987566e-04	4.596099e-03	1.495400e-02	3.527904e-08	-1.495404e-02
