time,V,IC,IL,IR,R,L,C,vs
0.0,0.0,0.0,0.0,0.0,10,0.5,0.02,1
9.999999717180683e-10,5e-12,0.0001,1.001e-20,-0.0001,10,0.5,0.02,1
1.023999971119302e-09,5.12288e-12,0.0001024,1.0256139999999999e-20,-0.0001024,10,0.5,0.02,1
1.071999969921769e-09,5.3744e-12,0.0001072,1.076052e-20,-0.0001072,10,0.5,0.02,1
1.167999967526704e-09,5.912e-12,0.0001168,1.1845089999999999e-20,-0.0001168,10,0.5,0.02,1
1.359999962736573e-09,7.12544e-12,0.000136,1.43507e-20,-0.000136,10,0.5,0.02,1
1.7439999531563121e-09,1.010528e-11,0.0001744,2.097326e-20,-0.0001744,10,0.5,0.02,1
2.511999933995788e-09,1.82768e-11,0.0002512,4.278704e-20,-0.0002512,10,0.5,0.02,1
4.047999895674742e-09,4.34672e-11,0.0004048,1.376762e-19,-0.0004048,10,0.5,0.02,1
7.11999981903265e-09,1.292374e-10,0.0007119999,6.683963e-19,-0.0007119999,10,0.5,0.02,1
1.3263999665748471e-08,4.423356e-10,0.0013264,4.180767e-18,-0.0013264,10,0.5,0.02,1
2.5551999359180102e-08,1.634763e-09,0.0025552,2.970654e-17,-0.0025552,10,0.5,0.02,1
5.012799874604336e-08,6.284541e-09,0.005012799,2.243407e-16,-0.005012799,10,0.5,0.02,1
9.927999751976989e-08,2.464379e-08,0.009927997,1.744567e-15,-0.009927997,10,0.5,0.02,1
1.616621571290193e-07,6.533912e-08,0.01616621,7.357976e-15,-0.01616621,10,0.5,0.02,1
2.310703302581921e-07,1.334862e-07,0.02310702,2.115821e-14,-0.02310702,10,0.5,0.02,1
2.978997831471443e-07,2.218631e-07,0.02978996,4.490619e-14,-0.02978996,10,0.5,0.02,1
3.974777636973955e-07,3.949737e-07,0.03974774,1.063299e-13,-0.03974774,10,0.5,0.02,1
5.170804822674532e-07,6.684325e-07,0.05170798,2.335167e-13,-0.05170798,10,0.5,0.02,1
6.866522424437544e-07,1.178729e-06,0.06866511,5.467442e-13,-0.06866511,10,0.5,0.02,1
8.980936989356154e-07,2.01643e-06,0.08980917,1.222335e-12,-0.08980917,10,0.5,0.02,1
1e-06,2.499998e-06,0.09999975,1.682589e-12,-0.09999975,10,0.5,0.02,1
1.203812602128769e-06,3.519058e-06,0.09999965,2.90935e-12,-0.09999965,10,0.5,0.02,1
1.562396961908403e-06,5.311972e-06,0.09999947,6.076023e-12,-0.09999947,10,0.5,0.02,1
2.094764545882199e-06,7.973792e-06,0.0999992,1.314894e-11,-0.0999992,10,0.5,0.02,1
3.159499713829793e-06,1.329741e-05,0.09999867,3.579715e-11,-0.09999867,10,0.5,0.02,1
5.288970049724979e-06,2.394457e-05,0.0999976,1.151029e-10,-0.0999976,10,0.5,0.02,1
9.547910721515353e-06,4.523853e-05,0.09999548,4.097496e-10,-0.09999548,10,0.5,0.02,1
1.806579206509609e-05,8.78251e-05,0.09999122,1.54317e-09,-0.09999122,10,0.5,0.02,1
2e-05,9.749525e-05,0.09999025,1.901618e-09,-0.09999025,10,0.5,0.02,1
2.072378066802196e-05,0.0001011138,0.09998988,2.047986e-09,-0.09998989,10,0.5,0.02,1
2.217134200406588e-05,0.0001083508,0.09998916,2.351199e-09,-0.09998917,10,0.5,0.02,1
2.506646467615371e-05,0.0001228248,0.09998772,3.020481e-09,-0.09998772,10,0.5,0.02,1
3.085671002032937e-05,0.000151772,0.09998482,4.610464e-09,-0.09998482,10,0.5,0.02,1
4.24372007086807e-05,0.000209664,0.09997903,8.796071e-09,-0.09997904,10,0.5,0.02,1
6.559818208538336e-05,0.0003254379,0.09996744,2.118955e-08,-0.09996746,10,0.5,0.02,1
0.0001119201448387887,0.0005569455,0.09994424,6.206328e-08,-0.09994431,10,0.5,0.02,1
0.0002045640703455993,0.001019799,0.09989781,2.081391e-07,-0.09989802,10,0.5,0.02,1
0.0003045640703455993,0.001519163,0.09984762,4.620352e-07,-0.09984808,10,0.5,0.02,1
0.0004045640703455993,0.002018275,0.09979735,8.157789e-07,-0.09979817,10,0.5,0.02,1
0.0005045640703455992,0.002517136,0.09974702,1.26932e-06,-0.09974828,10,0.5,0.02,1
0.0006045640703455993,0.003015745,0.09969661,1.822608e-06,-0.09969842,10,0.5,0.02,1
0.0007045640703455993,0.003514102,0.09964611,2.475592e-06,-0.09964859,10,0.5,0.02,1
0.0008045640703455994,0.004012206,0.09959555,3.228222e-06,-0.09959878,10,0.5,0.02,1
0.0009045640703455994,0.004510058,0.09954491,4.080448e-06,-0.099549,10,0.5,0.02,1
0.001004564070345599,0.005007655,0.0994942,5.032218e-06,-0.09949923,10,0.5,0.02,1
0.0011045640703456,0.005504999,0.09944341,6.083483e-06,-0.0994495,10,0.5,0.02,1
0.0012045640703456,0.006002089,0.09939256,7.23419e-06,-0.09939979,10,0.5,0.02,1
0.0013045640703456,0.006498924,0.09934162,8.48429e-06,-0.09935011,10,0.5,0.02,1
0.0014045640703456,0.006995505,0.09929062,9.833731e-06,-0.09930045,10,0.5,0.02,1
0.0015045640703456,0.007491831,0.09923954,1.128246e-05,-0.09925082,10,0.5,0.02,1
0.0016045640703456,0.007987901,0.09918838,1.283043e-05,-0.09920121,10,0.5,0.02,1
0.0017045640703456,0.008483714,0.09913715,1.447759e-05,-0.09915163,10,0.5,0.02,1
0.0018045640703456,0.008979272,0.09908585,1.622389e-05,-0.09910207,10,0.5,0.02,1
0.0019045640703456,0.009474573,0.09903447,1.806927e-05,-0.09905254,10,0.5,0.02,1
0.0020045640703456,0.009969616,0.09898303,2.001368e-05,-0.09900304,10,0.5,0.02,1
0.0021045640703456,0.0104644,0.09893151,2.205708e-05,-0.09895356,10,0.5,0.02,1
0.0022045640703456,0.01095893,0.09887991,2.419941e-05,-0.09890411,10,0.5,0.02,1
0.002304564070345599,0.0114532,0.09882824,2.644062e-05,-0.09885468,10,0.5,0.02,1
0.002404564070345599,0.01194721,0.0987765,2.878065e-05,-0.09880528,10,0.5,0.02,1
0.002504564070345599,0.01244097,0.09872469,3.121946e-05,-0.0987559,10,0.5,0.02,1
0.002604564070345599,0.01293446,0.0986728,3.3757e-05,-0.09870655,10,0.5,0.02,1
