time,V,IC,IL,IR,R,L,C,vs
0.0,0.0,0.0,0.0,0.0,10,1,0.02,1.5
9.999999717180683e-10,7.5e-12,0.00015,7.507499e-21,-0.00015,10,1,0.02,1.5
1.023999971119302e-09,7.684319e-12,0.0001536,7.692108e-21,-0.0001536,10,1,0.02,1.5
1.071999969921769e-09,8.061599e-12,0.0001608,8.070387e-21,-0.0001608,10,1,0.02,1.5
1.167999967526704e-09,8.867999e-12,0.0001752,8.883814e-21,-0.0001752,10,1,0.02,1.5
1.359999962736573e-09,1.068816e-11,0.000204,1.0763029999999999e-20,-0.000204,10,1,0.02,1.5
1.743999953156311e-09,1.515792e-11,0.0002616,1.572994e-20,-0.0002616,10,1,0.02,1.5
2.511999933995788e-09,2.74152e-11,0.0003768,3.2090269999999997e-20,-0.0003768,10,1,0.02,1.5
4.0479998956747405e-09,6.52008e-11,0.0006072,1.0325709999999999e-19,-0.0006072,10,1,0.02,1.5
7.119999819032646e-09,1.938562e-10,0.001068,5.012972e-19,-0.001068,10,1,0.02,1.5
1.3263999665748461e-08,6.635035e-10,0.0019896,3.135576e-18,-0.0019896,10,1,0.02,1.5
2.5551999359180082e-08,2.452144e-09,0.0038328,2.22799e-17,-0.0038328,10,1,0.02,1.5
5.012799874604332e-08,9.426812e-09,0.007519199,1.682555e-16,-0.007519199,10,1,0.02,1.5
9.927999751976985e-08,3.696569e-08,0.014892,1.308425e-15,-0.014892,10,1,0.02,1.5
1.596607432114973e-07,9.559705e-08,0.0239491,5.310602e-15,-0.0239491,10,1,0.02,1.5
2.175083590064137e-07,1.774158e-07,0.03262624,1.320725e-14,-0.03262624,10,1,0.02,1.5
2.851208425906756e-07,3.048557e-07,0.04276809,2.951117e-14,-0.04276809,10,1,0.02,1.5
3.751866171151267e-07,5.278721e-07,0.05627794,6.701153e-14,-0.05627794,10,1,0.02,1.5
4.929863758860796e-07,9.113864e-07,0.07394786,1.517841e-13,-0.07394786,10,1,0.02,1.5
6.495241776653585e-07,1.582058e-06,0.09742847,3.469439e-13,-0.09742847,10,1,0.02,1.5
8.542704507665169e-07,2.736667e-06,0.1281403,7.890666e-13,-0.1281403,10,1,0.02,1.5
1e-06,3.749997e-06,0.1499996,1.261717e-12,-0.1499996,10,1,0.02,1.5
1.291459098466966e-06,5.935934e-06,0.1499994,2.673246e-12,-0.1499994,10,1,0.02,1.5
1.645730896009305e-06,8.59296e-06,0.1499991,5.246837e-12,-0.1499991,10,1,0.02,1.5
2.25284207268198e-06,1.314626e-05,0.1499987,1.18459e-11,-0.1499987,10,1,0.02,1.5
3.467064426027328e-06,2.225282e-05,0.1499978,3.333709e-11,-0.1499978,10,1,0.02,1.5
5.895509132718026e-06,4.046577e-05,0.149996,1.094914e-10,-0.149996,10,1,0.02,1.5
1.075239854609942e-05,7.689102e-05,0.1499923,3.944859e-10,-0.1499923,10,1,0.02,1.5
2e-05,0.0001462429,0.1499854,1.426213e-09,-0.1499854,10,1,0.02,1.5
2.097137788267628e-05,0.0001535275,0.1499846,1.575346e-09,-0.1499846,10,1,0.02,1.5
2.291413364802884e-05,0.0001680966,0.1499832,1.887764e-09,-0.1499832,10,1,0.02,1.5
2.679964517873396e-05,0.0001972344,0.1499803,2.597513e-09,-0.1499803,10,1,0.02,1.5
3.457066824014419e-05,0.0002555082,0.1499745,4.35665e-09,-0.1499745,10,1,0.02,1.5
5.011271436296465e-05,0.0003720492,0.1499628,9.233413e-09,-0.1499628,10,1,0.02,1.5
8.119680660860558e-05,0.0006051039,0.1499395,2.442037e-08,-0.1499395,10,1,0.02,1.5
0.0001433649910998,0.001071105,0.1498928,7.652379e-08,-0.1498929,10,1,0.02,1.5
0.0002433649910998,0.001820381,0.1498177,2.210981e-07,-0.149818,10,1,0.02,1.5
0.0003433649910998,0.002569282,0.1497426,4.405812e-07,-0.1497431,10,1,0.02,1.5
0.0004433649910998,0.003317807,0.1496675,7.349356e-07,-0.1496682,10,1,0.02,1.5
0.0005433649910998,0.004065957,0.1495923,1.104124e-06,-0.1495934,10,1,0.02,1.5
0.0006433649910998,0.00481373,0.1495171,1.548108e-06,-0.1495186,10,1,0.02,1.5
0.0007433649910998,0.005561127,0.1494418,2.066851e-06,-0.1494439,10,1,0.02,1.5
0.0008433649910998,0.006308148,0.1493665,2.660314e-06,-0.1493692,10,1,0.02,1.5
0.0009433649910998,0.007054793,0.1492912,3.328461e-06,-0.1492945,10,1,0.02,1.5
0.0010433649910998,0.00780106,0.1492158,4.071253e-06,-0.1492199,10,1,0.02,1.5
0.0011433649910998,0.00854695,0.1491404,4.888653e-06,-0.1491453,10,1,0.02,1.5
0.0012433649910998,0.009292464,0.149065,5.780623e-06,-0.1490708,10,1,0.02,1.5
0.0013433649910998,0.0100376,0.1489895,6.747126e-06,-0.1489962,10,1,0.02,1.5
0.0014433649910998,0.01078236,0.148914,7.788123e-06,-0.1489218,10,1,0.02,1.5
0.0015433649910998,0.01152674,0.1488384,8.903578e-06,-0.1488473,10,1,0.02,1.5
0.0016433649910998,0.01227074,0.1487628,1.009345e-05,-0.1487729,10,1,0.02,1.5
